Name,Latitude Degree,Longitude Degree,Local Code
Searchlight Airport,35.44,114.91,1L3
Sebewaing Airport,43.73,83.46,98G
Sedan City Airport,37.15,96.19,61K
Huber Airpark Civic Club Llc Airport,29.6,97.99,E70
Diamond Point Airstrip,48.09,122.93,2WA1
"Seymour Air Park, Inc. Airport",35.81,83.77,TN20
Margos Sky Ranch Airport,41.04,81.82,8OA9
Seward Municipal Airport,40.86,97.11,SWT
Krutz Airport,40.91,97.08,NE18
Freeman Municipal Airport,38.92,85.91,SER
Sheldon Regional Airport,43.21,95.83,SHL
Eagle Neck Airport,31.64,81.33,1GA0
Shady Acres Airport,37.95,85.70,4KY8
Bushnell Airport,45.1,123.43,5OR2
Smith's International Airport,34.41,91.96,99A
Shiprock Airstrip,36.7,108.70,5V5
Shirley Airport,42.53,71.66,61MA
White Mountain Lake Airport,34.35,109.97,21AZ
Sibley Municipal Airport,43.37,95.76,ISB
Mahogany Mtn. Airport,43.07,121.05,1JY2
Silver Lake F S Strip,43.11,121.09,45S
Alfred C 'Bubba' Thomas Airport,28.04,97.54,T69
Sisseton Municipal Airport,45.67,97.00,8D3
Sisters Eagle Air Airport,44.3,121.54,6K5
Aberdeen Field,37.02,76.59,31VA
Smyrna Airport,39.3,75.58,38N
Bonanza Hills Airport,37.52,120.40,34CN
Snyder Airport,34.63,99.01,4O1
Martin Field,42.45,96.47,7K8
Solon Springs Municipal Airport,46.31,91.82,OLG
Mallory Airport,38.34,81.73,WV12
David Beiswanger Ultralightport,41.56,85.27,6II6
Woodstock Airport,41.92,71.95,64CT
Treeport Airport,47.98,116.79,ID22
Nest of Eagles Airport,45.84,91.80,1H9
Spotted Bear /Usfs/ Airport,47.96,113.56,8U4
Swaids Field,32.39,81.28,2GA2
Springfield Municipal Airport,44.23,95.00,D42
Plows & Props Airport,42.64,88.40,2WI4
Stanford Field,43.95,111.68,U12
Alderman Airport,40.06,80.96,2P7
St Elmo Airport,30.5,88.28,2R5
Cheyenne County Municipal Airport,39.76,101.80,SYF
Aero-Plain Airport,45.41,93.38,MN98
Jmj Landing Airport,39.22,96.06,02KS
Keyser Airport,39.16,96.10,1KS5
St Mary's Airpark,39.27,96.06,0
Stafford Airport,43.01,78.04,20NY
Potters Field,32.87,111.96,55AZ
Sunset Airport,48.27,122.36,15WA
Little Goose Lock and Dam Airport,46.58,118.00,16W
Willhoit Airport,39.05,89.84,IS33
Ste Genevieve Flying Club Airport,37.99,90.03,6MO2
Eagle Soaring Airport,40.51,106.94,1CD4
Kentmorr Airpark,38.92,76.36,3W3
Rosemont Airport,46.44,114.00,98MT
Grant Airport,33.53,84.16,3GA0
Stony River 2 Airport,61.79,156.59,SRV
Stuart Island Airpark,48.67,123.18,7WA5
Sturgis Municipal Airport,44.42,103.38,49B
Sylvania Airport,42.7,87.96,C89
Hargrove Airport,34.51,91.56,8AR0
Sublette Municipal Airport,37.49,100.83,19S
High Valley Airpark,34.7,84.01,GA87
Southland Field,30.13,93.38,UXL
Curless Airport,40.26,90.24,IS08
Sumter Airport,33.99,80.36,SMS
Sunrise Beach Airport,30.6,98.41,2KL
Superior Municipal Airport,33.28,111.13,E81
Braxton County Airport,38.69,80.65,48I
Castle Mountain Airstrip,61.8,148.49,48AK
Ross International Airport,49,111.98,7S8
Plantation Airpark,32.65,81.60,JYL
Tahlequah Municipal Airport,35.93,95.00,TQH
Tama Airport,41.95,92.58,53IA
Tarboro Edgecombe Airport,35.94,77.55,ETC
Taylorsville Airport,35.93,81.20,NC2
New Tazewell Municipal Airport,36.41,83.56,3A2
Mountain Valley Airport,35.1,118.42,L94
Willard Field,47.24,117.04,73S
Perry County Municipal Airport,38.02,86.69,TEL
Woody Mc Clellan Ranch Airport,31.24,97.51,19TX
Terry Airport,46.78,105.31,8U6
Municipal Airport,36.51,101.81,K49
Three Lakes Municipal Airport,45.79,89.12,40D
Memmi Airport,40.17,77.99,0PN6
Toledo State Airport,44.6,123.94,5S4
Tonasket Municipal Airport,48.72,119.47,W01
Tonopah Test Range Airport,37.8,116.78,TNX
Canyon Ferry Airport,46.42,111.58,8U9
Tracy Municipal Airport,44.25,95.61,TKC
Sugar Loaf Resort Airport,44.91,85.81,Y04
Mad River Airpark,40.02,83.83,I54
Tribune Municipal Airport,38.45,101.75,5K2
Troy Skypark Airport,39.99,84.27,37I
La Cholla Airpark,32.45,111.00,57AZ
Ralph M Sharpe Airport,34.66,90.38,30M
Turlock Airpark,37.47,120.84,9CL0
Turner Airport,48.85,108.41,9U0
Tuscola Airport,39.78,88.31,K96
Cones Field,34.16,116.05,2CA2
Cherokee Strip,37.37,97.11,18KS
"Union County, Troy Shelton Field",34.69,81.64,35A
Everett-Stewart Regional Airport,36.38,88.99,UCY
Franklin Field,32.17,85.81,07A
Unionville Municipal Airport,40.54,93.03,K43
Ridge Soaring Gliderport,40.88,77.91,79N
Wyandot County Airport,40.88,83.31,56D
Miller Memorial Airpark,43.96,117.26,S49
High Point Airport,37.84,97.35,3KS5
Valley City Flying Club Airport,41.26,81.97,78OH
Eglin Field Nr 2 Airport,30.58,86.45,FL35
Bollinger-Crass Memorial Airport,37.01,91.01,MO5
Culberson County Airport,31.06,104.78,VHN
Fly For Fun Airport,45.69,122.52,W56
Wax Orchards Airport,47.4,122.50,WA69
Wilbarger County Airport,34.23,99.28,F05
New Hibiscus Airpark,27.63,80.53,X52
Roy Otten Memorial Airfield,38.43,92.88,3VS
Viburnum Airport,37.72,91.13,MO84
Concordia Parish Airport,31.56,91.51,0R4
Vinalhaven Airport,44.07,68.82,ME55
Red Lion Airport,39.9,74.75,N73
Virginia Beach Airport,36.68,76.03,42VA
Wabash Municipal Airport,40.76,85.80,IWH
Wadena Municipal Airport,46.45,95.21,ADC
Hightower Areo Plantation Airport,34.97,80.03,67NC
Wagner Municipal Airport,43.06,98.30,AGZ
Wakeman Airport,41.29,82.37,I64
Walden Jackson County Airport,40.75,106.27,33V
Wales Airport,65.62,168.10,IWK
Walker Municipal Airport,47.16,94.65,Y49
Ghsa-Wallis Glideport Gliderport,29.61,96.03,TE71
Walters Municipal Airport,34.37,98.41,3O5
Big Foot Airfield,42.53,88.65,7V3
Warren Municipal Airport,33.56,92.09,3M9
Flying Circus Aerodrome,38.55,77.72,3VA3
Warrenton Air Park,38.66,77.79,7VG0
Wasco State Airport,45.59,120.67,35S
Water Valley Municipal Airport,34.17,89.69,33M
Watervliet Municipal Airport,42.2,86.25,40C
Watford City Municipal Airport,47.8,103.25,S25
Schuyler Airport,42.45,76.91,NY29
Orange Hill Airport,30.66,85.53,15FD
Waverly Municipal Airport,42.74,92.51,C25
Pike County Airport,39.17,82.93,EOP
Humphreys County Airport,36.12,87.74,0M5
Jaars Townsend Airport,34.86,80.75,N52
Horseshoe Bend Airport,32.57,97.87,F78
Voyager Village Airstrip,45.97,92.15,9WN2
Webster City Municipal Airport,42.44,93.87,EBS
Browns Airport,40.87,96.11,NE69
Sally Wofford Airport,35.59,90.91,8M2
Love Field,28.96,81.89,97FL
Campbell Field,37.46,75.88,9VG
Welch Municipal Airport,37.42,81.53,I25
Owl Canyon Gliderport,40.8,104.99,4CO2
Sweetwater (USMC) Airport,38.51,119.22,NV72
Desert Creek Airport,38.68,119.32,NV97
Reader-Botsford Airport,41.16,82.20,67D
Kampel Airport,40.05,76.98,2N5
Shreveport North Airport,40.04,77.00,62PA
Wessington Springs Airport,44.06,98.53,4X4
Hahn Sky Ranch Airport,43.47,88.29,2T5
West Branch Community Airport,44.24,84.18,Y31
Eagles Nest Airport,39.67,74.31,31E
Skydive Lebanon Airport,43.38,70.93,ME64
Wellington Aero Club Airport,26.65,80.29,FD38
Alexander Salamon Airport,38.85,83.57,AMT
Clearview Airpark,39.47,77.02,2W2
Flying T Ranch Airport,33.38,96.45,41TS
White Mountain Airport,64.69,163.41,WMO
Whittier Airport,60.78,148.72,IEM
Westport Airport,37.65,97.38,71K
Westport Auxiliary Airport,37.6,97.36,72K
Riverside Airport,37.75,97.41,K32
Wilbur Airport,47.75,118.74,2S8
Williams Gliderport,39.16,122.13,CN12
Creager Airport,39.03,84.05,0
Mingo County Airport,37.69,82.26,4I0
Downwind Acres Airport,42.15,83.57,86MI
Willow Springs Memorial Airport,36.99,91.95,1H5
Catalano Airfield,44.42,73.75,1NK6
White Wings Airport,30.01,98.04,3TS1
Arens Field,41.09,86.61,RWN
Winifred Airport,47.55,109.38,9S7
Chambers County Winnie Stowell Airport,29.8,94.43,T90
Winnsboro Municipal Airport,32.15,91.70,F89
Winters Municipal Airport,31.95,99.99,77F
Wisdom Airport,45.59,113.46,7S4
Lonesome Pine Airport,36.99,82.53,LNP
Woodbine Municipal Airport,39.22,74.79,OBI
Davies Air Field,40.74,81.87,OI08
Wray Municipal Airport,40.1,102.24,2V5
Yakataga Airport,60.08,142.49,0AA1
Yale Airport,43.11,82.79,D20
Flying M Airport,45.36,123.36,OR05
Yates Center Airport,37.85,95.75,8K5
Yoakum Municipal Airport,29.31,97.14,T85
Yuma Municipal Airport,40.1,102.71,2V6
Ottawa Executive Airport,42.82,85.93,Z98
Mc Mahon Field,46.39,120.22,68WA
Black Rock Airport,35.08,108.79,ZUN
Akiachak Seaplane Base,60.91,161.43,KKI
Northern Lights Seaplane Base,44.87,73.28,2VT2
Campbell Lake Seaplane Base,61.13,149.94,3C3
Anvik Seaplane Base,62.66,160.21,K40
Eagles Nest Heliport,28.04,81.85,FA53
Baranof Warm Springs Float and Seaplane Base,57.09,134.83,BNF
Bethel Seaplane Base,60.78,161.74,Z59
Vor Lake Waterlane Seaplane Base,66.9,151.47,2A4
Northwest Waterbird Seaplane Base,43.59,73.63,2NK0
Heavenly Flights Heliport,36.18,81.52,40NC
Cape Pole Seaplane Base,55.97,133.80,Z71
Chatham Seaplane Base,57.51,134.95,CYM
Chignik Bay Seaplane Base,56.3,158.40,Z78
Mosby Army Heliport,34.63,84.11,7A7
Camp Grafton Heliport,48.06,98.93,8NA7
Shannons Pond Seaplane Base,59.06,158.58,0Z3
North Country Seaplane Base,47.01,92.17,9M0
Ellamar Seaplane Base,60.89,146.70,1Z9
Excursion Inlet Seaplane Base,58.42,135.45,EXI
Folsom Lake Seaplane Base,38.71,121.13,C39
Friday Harbor Seaplane Base,48.54,123.01,W33
Funter Bay Seaplane Base,58.25,134.90,FNR
Greenville Seaplane Base,45.46,69.60,52B
Gulf Breeze Hospital Heliport,30.36,87.16,FD47
Haines Seaplane Base,59.24,135.44,3Z9
Car Country Heliport,35.99,114.93,NV10
Hollis Clark Bay Seaplane Base,55.48,132.65,HYL
Hoonah Seaplane Base,58.11,135.45,OOH
Hydaburg Seaplane Base,55.21,132.83,HYG
Kake Seaplane Base,56.97,133.95,KAE
Karluk Lake Seaplane Base,57.37,154.03,KKL
Kasaan Seaplane Base,55.54,132.40,KXA
Lake Brooks Seaplane Base,58.55,155.78,5Z9
Island Lake Seaplane Base,60.7,151.31,2R3
Kodiak /Lilly Lake/ Seaplane Base,57.8,152.38,9Z3
Trident Basin Seaplane Base,57.78,152.39,T44
Laredo Medical Center Heliport,27.54,99.48,XA22
Alitak Seaplane Base,56.9,154.25,ALZ
Surfside Seaplane Base,45.15,93.12,8Y4
Baptist Hospital East Heliport,38.24,85.64,09KY
Plantation Key Seaplane Base,24.97,80.60,42FL
Summit Lake Seaplane Base,60.64,149.50,52Z
Lake Berryessa Seaplane Base,38.59,122.26,E20
Southern Nh Medical Center Heliport,42.76,71.46,NH37
Sentara Norfolk General Hospital Heliport,36.86,76.30,VA88
Grand Canyon West-2 Heliport,36.05,113.86,AZ35
Grand Canyon West-1 Heliport,36.03,113.83,AZ36
Sacred Heart Hospital Heliport,30.48,87.21,9FD1
West Florida Regional Medical Center Heliport,30.5,87.25,FL24
Baptist Hospital Heliport,30.43,87.23,FL85
Point Baker Seaplane Base,56.35,133.62,KPB
Port Alice Seaplane Base,55.8,133.60,16K
Port Bailey Seaplane Base,57.93,153.04,KPY
Port Williams Seaplane Base,58.49,152.58,KPR
Rangeley Lake Seaplane Base,44.95,70.66,M57
Will Rogers Wiley Post Memorial Seaplane Base,47.5,122.22,W36
Roche Harbor Seaplane Base,48.61,123.16,W39
Saginaw Seaplane Base,56.89,134.16,A23
Elliott Park Heliport,47.62,122.36,WA55
Seldovia Seaplane Base,59.43,151.71,A27
Skagway Seaplane Base,59.45,135.32,7K2
Mackeys Lakes Seaplane Base,60.53,151.00,L85
Steamboat Bay Seaplane Base,55.53,133.64,WSB
West Side Hospital Heliport,35.14,119.45,07CA
Tenakee Seaplane Base,57.78,135.22,TKE
Thorne Bay Seaplane Base,55.69,132.54,KTB
Tikchik Lodge Seaplane Base,59.96,158.48,AK56
Tokeen Seaplane Base,55.94,133.33,57A
Madison Aviation Heliport,35.97,112.13,AZ18
Naukati Bay Seaplane Base,55.85,133.23,AK62
Waikoloa Heliport,19.92,155.86,HI07
Lost Lake SPB Seaplane Base,61.33,150.00,57AK
Wasilla Lake Seaplane Base,61.59,149.41,5L6
Wallis Lake Seaplane Base,61.57,149.57,62AK
Visnaw Lake Seaplane Base,61.62,149.68,T66
Waterfall Seaplane Base,55.3,133.24,KWF
Yakutat Seaplane Base,59.56,139.74,2Y3
Ft Devens Moore Army Air Field,42.57,71.60,0
South Weymouth Naval Air Station,42.15,70.94,NZW
Picayune Airport,30.52,89.71,PCU
Malta Airport,48.35,107.89,0
Richards-Gebaur Air Force Base,38.84,94.56,0
Grumman Bethpage Airport,40.75,73.50,0
Saginaw Airport,32.86,97.38,0
Houston Gulf Airport,29.51,95.05,SPX
White Mountain Airport,44.02,71.11,0
Lee County Airport,36.75,83.04,0
Cape Simpson,71.06,154.74,A40
Collensville/twincreek,62.34,151.48,0
Fisher's Landing Resort Airstrip,32.97,114.46,0
Lake Havasu City Airport,34.46,114.36,HSU
Avery Ranch Airstrip,41.63,122.41,0
Austin Executive Airport,30.4,97.57,0
Tiki Island,29.45,94.66,0
Erase Me 13,0.4,0.00,0
Ellensburg (Rotor Ranch) Airport,47.09,120.59,0
Reapers Field,35.33,91.80,REAPERS
Amchitka Army Airfield,51.38,179.26,0
Aubry Field,34.72,90.89,AUBRY
Aubry Field2,34.71,90.91,AUBRY2
Lesters Field,35.28,91.34,LESTER
Overturf Field,35,91.98,OVERTF
FFS Field,35.28,91.54,FFS
Collisons Field,35.32,91.51,COLLISO
Freps Airport,35.3,91.58,FRP
Jps Field,35.3,91.58,JPS
Hoppe Airspray,42.26,92.84,HOPA
Bonita,32.89,91.71,0
Bobs,35.39,91.44,0
Goads field,35.41,91.40,0
Butlerville Field,34.97,91.83,0
Cash field,35.8,91.03,CASH
Cleveland Regional Jetport,35.21,84.80,RZR
Tuckers Field,35.64,91.87,TUCK
Cantrell Field Airport,35.02,92.56,CXW
Stans Field,34.99,91.26,STANS
Wright Field,39.78,84.10,DWF
Bells Field,34.98,91.55,BELLS
Schroeder's field,35.07,91.74,0
Blowout Bench Airport,47.11,120.71,74WT
Enlgand ag strip,34.54,91.98,5MZ
Fernandina Beach Muni Airport,30.61,81.46,FHB
Scotts Field,36.01,90.80,0
Greater Southwest International Airport-Amon Carter Field,32.83,97.05,GSW
Barbers Lake Field,35.16,91.53,BARBERL
Middle Hero Seaplane Base,44.76,73.27,29VT
In the Air Boys,31.58,100.56,0
Mallets Field,35.21,92.53,MALLETT
Ronnie Cole,39.83,85.72,0
Elvis1 Field,35.22,91.65,ELVIS1
McConnaughhay's Field,35.1,91.64,KENS
Jamies,35.52,90.73,0
Hazel Green Acres Airport,34.98,86.69,8AL7
Heckendorf Ranches-Georgia Pass Ranch Airport,39.41,105.84,0
Kite Field,36.28,82.59,97TN
Kaanapali Airport,20.95,156.69,HKP
Shank N Bank Airport,28.74,96.47,08TS
Craig's field,30.5,91.92,0
Norton Audubon Hospital Heliport,38.21,85.72,1KY8
Marlboro Airport,40.37,74.25,2N8
Medfra Airport,63.11,154.72,0
Morehead-Rowan County Clyde A. Thomas Regional Airport,38.22,83.59,SYM
Falwell Railroad Field,35.55,91.36,FALRR
North Hero Passage Seaplane Base,44.85,73.29,36VT
Bybee Field,43.9,116.99,97OG
Falwell Base,35.55,91.33,0
The Salmon Farm Airport (Pvt),37.61,75.80,53VG
Walter'S Camp Airport,33.25,114.71,CN98
Reynolds Field,35.19,91.07,RYNDS
Site 8 NOLF,30.54,87.37,0
Henry C. Mustin Naval Air Facility,39.89,75.16,0
A & C AG Aviation Inc,32.17,83.69,0
Naval Medical Center Helipad,36.85,76.31,Z24
Possum Grape Exit,35.46,91.40,0
Falwell Freeway,35.47,91.36,FALF
Buds Field,35.32,91.46,BUDS
"Delle, Utah",40.76,112.79,0
Brown'S Airport,35.29,91.89,7AR4
River John Airport,61.94,151.04,3AK9
Tocoi Airport,29.87,81.37,FL36
St. Joseph'S Landing,39.24,96.03,91KS
Crow Island Airport (Pvt),42.42,71.49,8MA4
Kohn Airport,42.14,76.39,0
Pumpkin Patch Field,34.64,92.22,0
Christiansen Lake Seaplane Base,62.31,150.07,AK8
Tew Mac Heliport,42.6,71.21,80MA
Tupelo Field,35.41,91.23,TUPELO
Joeys,35.4,91.35,0
Evergreen North-South Airpark,45.63,122.53,WA81
Vaughn Municipal Airport,34.6,105.19,N17
Bellows AFS (Bellows Field),21.37,157.71,0
Walesboro Airport,39.14,85.93,0
Weona,35.54,90.60,0
Bennetts Field,35.28,91.48,BENNETT
Aleknagik / New Airport,59.28,158.62,5A8
Huslia Airport,65.7,156.35,HLA
Aniak Airport,61.58,159.54,ANI
Akutan Seaplane Base,54.13,165.78,KQA
Holy Cross Airport,62.19,159.77,HCA
Homey (Area 51) Airport,37.24,115.81,0
Mc Comb/Pike County Airport/John E Lewis Field,31.18,90.47,MCB
Kalskag Airport,61.54,160.34,KLG
Arlington Municipal Airport,35.28,89.67,0
Cape Newenham LRRS Airport,58.65,162.06,EHM
Cape Romanzof LRRS Airport,61.78,166.04,CZF
Iliamna Airport,59.75,154.91,ILI
Sparrevohn LRRS Airport,61.1,155.57,SVW
St Paul Island Airport,57.17,170.22,SNP
Tatalina LRRS Airport,62.89,155.98,TLJ
Indian Mountain LRRS Airport,65.99,153.70,UTO
Anvik Airport,62.65,160.19,ANV
Arctic Village Airport,68.11,145.58,ARC
Atqasuk Edward Burnell Sr Memorial Airport,70.47,157.44,ATK
Beaufort MCAS - Merritt Field,32.48,80.72,NBC
Buckland Airport,65.98,161.15,BVK
Clear Airport,64.3,149.12,Z84
Cape Canaveral AFS Skid Strip,28.47,80.57,XMR
Deering Airport,66.07,162.77,DEE
Mc Entire Joint National Guard Base,33.92,80.80,MMT
Egegik Airport,58.19,157.38,EII
Bicycle Lake Army Air Field,35.28,116.63,BYS
Polk Army Air Field,31.04,93.19,POE
Julian Carroll Airport,37.59,83.32,JKL
Bob Baker Memorial Airport,66.98,160.44,IAN
Kivalina Airport,67.74,164.56,KVL
Marshall Don Hunter Sr Airport,61.86,162.03,MDM
Mekoryuk Airport,60.37,166.27,MYU
Monticello Municipal Ellis Field,33.64,91.75,LLQ
Nenana Municipal Airport,64.55,149.07,ENN
Port Heiden Airport,56.96,158.63,PTH
Ruby Airport,64.73,155.47,RBY
Sand Point Airport,55.31,160.52,SDP
Savoonga Airport,63.69,170.49,SVA
St George Airport,56.58,169.66,PBV
Togiak Airport,59.05,160.40,TOG
Twentynine Palms (Self) Airport,34.3,116.16,NXP
Wainwright Airport,70.64,159.99,AWI
Chignik Lagoon Airport,56.31,158.54,KCL
Ekwok Airport,59.36,157.47,KEK
False Pass Airport,54.85,163.41,KFP
Goodnews Airport,59.12,161.58,GNU
Hoonah Airport,58.1,135.41,HNH
Igiugig Airport,59.32,155.90,IGG
Kaltag Airport,64.32,158.74,KAL
King Cove Airport,55.12,162.27,KVC
Napakiak Airport,60.69,161.98,WNA
New Stuyahok Airport,59.45,157.33,KNW
Nikolski Air Station,52.94,168.85,IKO
Ugashik Bay Airport,57.43,157.74,UGB
Cole Landing Zone Airport,35.28,94.22,NX01
Greenhorn Valley Airport,37.96,104.78,CO22
Howell New Lenox Airport,41.48,87.92,1C2
B I R Airport,46.42,94.28,MY55
Flying M Ranch Airstrip,38.61,119.00,0
Pacemaker Landing Zone Airport,47.02,122.45,KZ10
Abbeville Municipal Airport,31.6,85.24,0J0
Coastal Ridge Airpark,30.03,92.01,34LS
Ms Pats Airport,29.97,92.18,35LA
Live Oak Landing Strip,29.82,92.12,LA60
Ken Guidry Nr 1 Airport,29.93,92.21,LS68
Abbeville Airport,34.15,82.35,SC81
Rambos Field,34.1,82.28,SC92
Stapleton Field,31.88,97.07,TX03
Thorson Airfield,45.37,98.48,SD05
Wishkah River Ranch Airport,47.08,123.77,94WA
Abie Sky Ranch Airport,41.37,96.95,NE27
Flying B Ranch Airstrip,32.48,99.83,35TX
Zimmerle Airport,32.27,99.60,6TE2
Elmdale Airpark,32.45,99.65,82TS
Abilene Executive Airpark,32.45,99.62,TX00
Portlock Airfield,32.53,99.61,TX02
Wolford's Airport,40.79,90.44,IL01
Ghost Ranch Strip,36.3,106.49,50NM
Price Ultralightport,30.52,90.01,LA07
Punton Private Airport,47,97.41,ND07
Coleman Cattle Company Nr 1 Airport,32.53,101.72,75TA
Ackley Municipal Airport,42.55,93.03,4C7
Acme Field,48.71,122.18,WA12
Marshall Field,39.64,85.98,IN19
Old Acton Airfield,43.54,70.93,02ME
Buzzy's Field,43.61,70.97,ME89
Somerville Airport,42.94,85.49,2MI5
Hammars Farm Airport,47.28,96.62,MN01
Ada Airport,40.79,83.83,0D7
Valley Airport,34.71,96.58,3OK0
Thomas Ranch Airport,34.73,96.60,OK80
Grand Isle Airport,36.42,95.17,OK18
Butterville Airport,43.84,76.09,0
Rothrock Field,45.75,118.62,OG04
Daniel Airport,30.35,91.28,0
Addison Municipal Airport,34.22,87.16,2A8
Towner Farm Airport,42.12,77.21,2NY7
Juergensen Airpark and Maritime Facility Airport,39.73,79.38,PS27
Spencer Airport,44.11,73.29,VT09
Ass-Pirin Acres Airport,44.07,73.37,VT11
Bluecreek Airport,48.31,117.84,WA57
Mc Ranch Airport,42.16,119.90,47OR
Krey Field Airport,34.57,117.56,0CL1
Hansen Airport,34.63,117.65,11CL
Adelanto Airport,34.54,117.46,52CL
Mc Creless Farm Airport,29.37,98.23,3TX5
Angle Bar M Airport,38.39,94.31,MU07
Coleman Cattle Company Nr 2 Airport,35.4,102.81,0
Happy Bottom Airport,36.05,80.46,30NC
Marchmont Plantation Airpark,35.94,80.38,6NC8
Walker Field,44.93,92.82,MY35
North Fork Airport,42.27,75.56,8NY3
Teramiranda Airport,36.61,94.87,79F
Heiner Airport,42.86,110.90,WY60
Metrogro Farm Airport,39.5,103.72,CO25
Schoolcraft Airport,38.42,95.52,0
Old Hoppe Place Airport,27.8,97.85,67T
Ward Ranch Airport,33.43,116.84,0CA8
Flying Dare's Ranch Airport,34.01,113.20,26AZ
Eagle Roost Airpark,33.92,113.17,27AZ
Sampley's Airport,33.92,113.18,28AZ
Hillair Dirt Strip,33.92,113.19,0
Dragonfly Field,36.24,76.97,15NC
Wexford Landing Airport,33.58,81.51,4SC7
Akhiok Airport,56.94,154.18,AKK
Akiachak Airport,60.9,161.42,Z13
Akiak Airport,60.9,161.23,AKI
Hay Acres Airport,45.94,94.76,1MN2
Gebauer Airport,40.24,103.09,5V6
Woodcock Airport,41.07,86.06,II05
Mayfield Airport,40.99,81.43,1D4
Link Field,29.7,82.49,63FD
Santa Fe River Ranch Airport,29.92,82.48,FA62
Alakanuk Airport,62.68,164.66,AUK
Leffler Airport,28.96,81.12,0
Roy Lohse Airport,48.58,103.47,NA92
Alamo Navajo Airport,34.36,107.50,3N9
Mid-Valley Dusters Inc Airport,26.15,98.14,43TX
Timberon Airport,32.63,105.69,52NM
Gorby Ranch Airport,32.96,106.00,0
Cooper Flying Service Airport,37.2,94.41,00MO
Tallassee Plantation Airport,31.58,84.39,0
Double 'O' Farm Airport,31.53,84.00,0
Pinebloom Plantation Airport,31.4,84.32,GA14
Chuck's Airport,40.26,85.25,0II0
Finney's Airpark,40.26,85.26,II77
Skalicky Airstrip,45.66,94.58,4MN0
Albany Municipal Airport,40.26,94.34,K19
Leavitt Airport,43.97,71.17,NH38
Jerry Phibbs Airport,42.76,73.92,NK43
Lambert Field,44.73,123.08,4OR3
Wooldridge Agstrip Airport,44.73,123.06,9OR8
Propst Airport,44.64,123.02,OR19
Hemmingson Airport,44.66,123.14,OR20
Miller Airstrip,44.59,122.99,OR21
Roppair Airport,44.62,123.03,OR22
Albany Municipal Airport,32.72,99.27,T23
Tribitt Airport,45.05,96.55,1SD8
Tequesquite Ranch Airport,35.88,103.81,NM10
Alberta Ultralightport,38.4,84.46,8KY0
Albia Municipal Airport,40.99,92.76,4C8
Leise Airport,42.15,92.98,6IA6
Albion Municipal Airport,42.4,113.56,39ID
Pippenger Airport,41.32,85.37,3IN5
B & V Flying Ranch Airport,41.36,85.39,98IN
Midway Airport,42.22,84.81,42MI
Dawn Patrol Aviation Airport,43.27,78.15,NK31
Gaines Valley Aviation Airport,43.3,78.21,NY06
Homer Ranch Airport,34.66,95.07,0
Marther Field,41.87,80.46,75PA
Jim Shearer Airport,41.85,80.41,0
G & N Airport,41.88,80.37,PS05
Price's Dairy Airport,35.32,106.67,0
New Mexico Soaring Ranch Airport,35.12,106.15,NM61
Greenwoods Airfield,45.01,73.25,VT38
Bingham Airport,42.44,88.49,IL05
Mercer Ranch Airport,45.9,119.91,WA00
Beggs Ranch/Aledo/ Airport,32.75,97.61,TX15
Log Cabin Airport,32.8,97.61,0
Aleknagik Mission Lodge Airport,59.28,158.60,4AK7
Chitwood Airstrip,47.71,103.64,0
Haugen's Airport,47.68,103.73,7ND7
Gajewski Field,47.9,103.66,ND26
Alexandria Airport,40.23,85.64,I99
Grass Roots Airport,31.25,92.48,05LS
Chandler Airport,31.31,92.61,9LA6
Aggies Landing Airport,45.77,95.26,MN04
Goering Ranches Airport,44.1,120.95,50OR
Jorgensen - Stoller Airport,44.64,87.44,1WI8
Carnot Field,44.64,87.42,3WI0
Foscoro Airport,44.68,87.38,0
Hammock Field,38.91,89.67,7IS7
George Downer Airport,33.11,88.20,AIV
Stewart Farms Airport,36.5,98.50,0
Alkali Lake State Airport,43.09,119.98,R03
Allakaket Airport,66.55,152.62,6A8
Weiss Farm Airport,40.92,74.87,JY24
Chicora Field,42.47,85.98,38MI
Kittyhawk Airport,33.13,96.68,0
Deyoung Airport,42.97,85.96,6MI2
Sugar Hill Airport,33.04,81.29,SC01
Stub's Field,40.97,81.21,3OH5
Alliance Airport,40.91,81.07,OH48
Glidwell Flying Service Airport,34.1,90.70,MS09
Allison Municipal Airport,42.76,92.80,K98
Nardo Airport,40.58,79.90,77PA
Alloway Airfield,39.54,75.30,0
Alma Municipal Airport,40.11,99.35,4D9
J-Z Airport,47.72,118.94,1W0
Swan Field,44.27,89.44,WS36
Almyra Municipal Airport,34.41,91.47,M73
Silver City Airpark,45.13,83.45,53M
Chukkar Farm Ultralightport,34.2,84.32,2GE5
On the Rocks Airport,32.77,116.72,1CA6
Kayutah Lake Airport,42.37,76.72,2NY9
Terlingua Ranch Airport,29.45,103.40,1.00E+02
02 Ranch Airport,29.87,103.70,0
Taurus Mesa Airport,29.62,103.68,4TE4
Rebel Field,29.4,95.08,TX66
Reed-Wilsonton Airport,37.26,95.33,3KS8
Farm Air Service Airport,30.6,85.14,0
Cattle Creek Ranch Airport,30.52,85.20,50FD
County Line Airstrip,30.61,85.09,5FD3
Johnson Airport,42.8,85.37,0
Taylor Ranch Airport,31.68,94.98,9TA8
Swains Creek Airport,37.47,112.62,UT00
Strawberry Valley Estates Airport,37.49,112.64,UT24
Vicars Private Airport,40.55,78.39,PS15
